"Effect","NumDF","DenDF","Sum Sq","Mean Sq","F value","Pr(>F)","Significance"
"site",3,153.8,3554.37,1184.79,7.04,2e-04,"***"
"habitat",1,146.1,508.33,508.33,3.02,0.0844,"."
"session",3,145.2,365.63,121.88,0.72,0.5393,""
"site:habitat",3,150.3,3668.11,1222.7,7.26,1e-04,"***"
"site:session",7,144.2,4152.87,593.27,3.52,0.0016,"**"
"habitat:session",3,145.9,220.33,73.44,0.44,0.7274,""
"site:habitat:session",7,145.2,4510.57,644.37,3.83,8e-04,"***"
