"Effect","NumDF","DenDF","Sum Sq","Mean Sq","F value","Pr(>F)","Significance"
"site",3,149.1,4827.14,1609.05,8.07,1e-04,"***"
"habitat",1,144.1,161.82,161.82,0.81,0.3692,""
"species",3,15.2,128.56,42.85,0.21,0.8845,""
"site:habitat",3,152,1444.06,481.35,2.41,0.0689,"."
"site:species",8,145.8,1865.35,233.17,1.17,0.3216,""
"habitat:species",3,145.2,647.85,215.95,1.08,0.3584,""
"site:habitat:species",8,147.2,3884.13,485.52,2.43,0.0168,"*"
